"Gene.ID"	"EC"	"HIP"	"MTG"	"PC"	"SFG"	"VCX"
1	1.251482672	1.355687888	0.240037756	0.077404431	0.597263514	1.443043794
2	2.816060272	1.857953384	2.603766564	0.194910374	2.091780167	1.695146873
9	0.129066722	0.252940648	0.018585372	0.230661049	0.033414332	0.548136916
10	1.295155364	1.96289643	0.093383701	0.98322431	0.294685203	0.115543049
12	3.0256199	0.338558167	0.848060696	0.357569872	2.629894622	0.286688421
13	0.084615125	0.208828587	0.087419693	0.523978161	0.114197886	0.351563694
14	0.215405015	2.962871667	1.267978848	2.241429233	1.396437815	0.642950437
15	0.576193399	1.047211856	0.034865287	0.047417747	0.9780514	0.075102584
16	1.834208194	5.14504057	5.860228302	2.996446263	0.390143475	1.475314339
18	3.528525579	4.399875927	3.971095744	4.710457399	1.175630908	2.224814237
19	3.642421423	1.809335538	6.31842796	0.823169464	3.289870088	0.821765881
20	3.227503064	1.065806491	1.11832418	1.079743411	0.720278798	0.488829441
21	3.183563689	4.684896473	2.086446022	1.449956383	0.600724705	0.149400397
22	1.879245482	0.690772823	0.004238713	0.049119442	0.459126018	0.016116285
23	0.802549823	2.229790479	0.471867418	3.619265395	0.30582653	0.559627498
24	1.195294776	0.263485885	1.261660269	0.775824775	0.116877023	0.053384136
25	1.003790128	0.162574712	2.600165931	0.254166584	2.70351158	0.718170475
26	0.125678186	0.075459214	0.948247831	0.244041316	0.388483878	0.092254633
27	1.697138775	1.870961455	1.421660565	1.153335057	0.719399997	0.564601633
28	0.15453474	1.414442781	1.739649041	0.353973365	0.440272324	1.06681564
29	2.454076543	4.781050806	5.421738618	2.072731435	1.560376731	0.136985494
30	1.23067063	2.589344271	2.189667728	1.982344247	2.913360085	1.621474912
31	3.407498061	4.771989173	2.536784642	2.761522392	1.506861433	1.054967998
32	5.103959077	0.847837589	6.185413907	3.337917995	6.442650392	2.450877672
33	0.053617305	0.9475246	0.596152451	0.717803499	0.611692307	0.764306042
34	0.312183804	1.924454723	3.840843193	1.852342469	0.188576674	1.230649295
35	1.075786139	0.37659256	1.185667504	0.206294212	0.755252542	1.595087365
36	1.19163781	2.035160384	2.201723065	2.543489429	2.464881388	2.747325048
37	4.144214065	0.618438808	1.887369714	0.042737652	2.186417222	1.259087586
38	1.996028495	1.342712019	3.502882593	3.789329499	2.422776677	1.998609962
39	0.765676362	1.351706365	1.568282064	1.601209408	1.39061159	1.476816895
40	0.457431947	3.394743169	2.064967101	2.411491671	0.995462093	0.287933909
41	0.600722429	1.027109611	3.762103739	0.217966794	0.277145318	1.701480667
43	4.410662743	0.231905623	4.045974445	0.959966674	1.43378546	0.353555264
47	3.290215084	3.513751175	3.972224913	0.9222899	1.696293757	0.872716633
48	0.195770977	4.937037603	0.248294224	2.092076936	1.23003706	2.426664196
49	0.236658523	0.12526814	0.007730876	0.531186787	0.30537069	0.551313499
50	2.084172323	4.26949202	2.105034484	3.710091437	0.211235251	1.195786758
51	4.421510956	3.005492417	1.44032144	1.890303932	1.040099701	0.848262934
52	2.673408556	2.554607803	7.433437991	5.779213724	2.483843914	2.435030906
53	0.242474168	3.74180616	2.433843907	1.332323382	3.955036878	0.184678459
54	0.029235318	0.133879286	0.282447738	0.525135234	0.029327971	0.5285121
55	1.705527295	1.590107172	1.76423102	1.01090087	1.016875681	0.552458885
56	2.19710573	1.11546766	1.409262809	1.114085461	0.379937375	0.582818924
58	0.024308898	0.464071486	0.179135213	0.330858771	0.078212162	0.126877835
59	2.099928362	0.856065293	2.313090041	0.836270334	2.510829677	0.56539647
60	1.003931986	6.21534439	7.125374794	2.077188082	0.607785986	0.761931588
70	0.38643294	0.322367206	0.323651119	1.485011954	0.302545703	0.060624924
71	0.756433362	5.553542445	6.489021563	3.594099508	0.610307048	3.485219723
72	0.796805814	0.553460043	0.780702168	1.323475188	0.243023901	0.353193702
81	0.058498035	1.164867591	0.066576151	0.440942485	1.808941233	2.839680314
86	0.453641425	0.097380144	3.381120356	0.470029952	0.620151612	0.247479365
87	5.196086715	0.734604736	0.573166251	3.685947637	1.129026163	0.906298072
88	2.691051013	3.621664601	5.133900441	2.682881796	3.336846634	1.534064197
89	0.088803576	1.267900198	0.517553841	0.238855325	0.138165376	0.167509274
90	0.360495772	0.299299128	0.820140151	1.524100443	0.085849846	0.343901919
91	1.768615545	2.980456671	7.777499773	0.881663921	1.209915606	1.368935579
92	2.721161269	0.770314022	1.176282081	0.487837327	5.27908014	0.605715325
93	2.445120725	1.477563356	1.231860172	1.440766725	0.635288898	0.873576139
